number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
20,0.145185490092681,2025-10-18 15:09:13.724452,2025-10-18 15:09:17.095996,0 days 00:00:03.371544,1.7738600066115762,0.8960759827437311,0.6284395568246335,0.5066119053558158,0.6146355287829132,2.7482827116859836,0.11873758022518867,5,4,400,9.123198974652606,0.8873038918017462,COMPLETE
21,0.14136675907317472,2025-10-18 15:09:17.096381,2025-10-18 15:09:18.128759,0 days 00:00:01.032378,1.477852377719861,0.9384106268926858,0.5639792618718953,0.500200890229681,0.8609724744627966,3.9988920261351786,0.19958525187342624,5,3,300,9.782399335426623,0.7422236055812638,COMPLETE
22,0.12965188865686827,2025-10-18 15:09:18.129120,2025-10-18 15:09:19.247423,0 days 00:00:01.118303,1.9819553275736408,0.9337777224580586,0.5042917164305543,0.5561188003663015,0.9390696901620463,3.689562294303941,0.16623538486913533,5,2,300,8.720814405783976,0.7644087641141377,COMPLETE
23,0.1447370455474785,2025-10-18 15:09:19.247812,2025-10-18 15:09:26.064436,0 days 00:00:06.816624,1.2725059353018198,0.8811482801330582,0.5544633891483645,0.5007081586466617,0.8168953023277146,4.296605504160787,0.13613594388684613,4,3,250,6.603317277899123,0.6815612813384654,PRUNED
24,0.14034659323056858,2025-10-18 15:09:26.064767,2025-10-18 15:09:44.279514,0 days 00:00:18.214747,1.6463025065021424,0.9397297454729409,0.5898585440581672,0.6001706944724786,0.9043632875190545,4.568792394134747,0.10359069318413251,5,6,350,11.19174072260345,0.6272353029327428,COMPLETE
25,0.1424827694070063,2025-10-18 15:09:44.279930,2025-10-18 15:09:48.197995,0 days 00:00:03.918065,1.3894734796215586,0.7955522707445001,0.5407728920752868,0.6689000093883264,0.9882353568526523,3.7075408903843137,0.16623584685187484,4,2,200,10.081852930464148,0.7927151805170382,COMPLETE
26,0.15291293415093057,2025-10-18 15:09:48.198438,2025-10-18 15:09:57.461467,0 days 00:00:09.263029,1.8396004159599508,0.8600795266429587,0.6147166789985168,0.5434043706154771,0.7801738157886,4.963052383792097,0.19943041977853188,5,4,250,14.30996232396329,0.728242447342659,PRUNED
27,0.12238366693942508,2025-10-18 15:09:57.461791,2025-10-18 15:10:17.541042,0 days 00:00:20.079251,1.1826694525813357,0.9627529912952768,0.6832673032827831,0.602707674790298,0.6008984236501818,2.944130934778436,0.13734975302098723,4,5,350,11.497371969000952,0.8361254009812448,COMPLETE
28,0.147326622133811,2025-10-18 15:10:17.541447,2025-10-18 15:10:33.021325,0 days 00:00:15.479878,0.8051978302151888,0.9092987547938078,0.5418100199350133,0.6823608184074271,0.8934600423015171,2.279849578271823,0.1740833692558057,5,3,450,8.25256896777279,0.8862487141141558,COMPLETE
29,0.14906872147618674,2025-10-18 15:10:33.021723,2025-10-18 15:10:52.161440,0 days 00:00:19.139717,1.516771370296228,0.8378909799501083,0.5037698767613823,0.7772286283106645,0.7623071885420413,4.343178587582742,0.0853127047070614,4,10,150,19.149388239676988,0.7778512367472532,COMPLETE
30,0.1584401187437402,2025-10-18 15:10:52.161831,2025-10-18 15:10:53.295988,0 days 00:00:01.134157,1.6851997301519754,0.7345775160917183,0.5866405713640387,0.8416197627577736,0.6458189349981899,3.3178535285117765,0.10970950091471748,5,2,300,7.164038762272411,0.7103435493235871,COMPLETE
31,0.14531315433982453,2025-10-18 15:10:53.296423,2025-10-18 15:11:19.062607,0 days 00:00:25.766184,1.6777574229347367,0.7473819237802362,0.5722421972196379,0.8404103742153504,0.6448197889281222,3.2901325462346733,0.10993469507772728,5,2,300,6.994193344040029,0.6539067312309585,COMPLETE
32,0.1293985096719004,2025-10-18 15:11:19.063024,2025-10-18 15:11:21.052447,0 days 00:00:01.989423,1.399430871912684,0.6343210257134648,0.6099920516404093,0.9987230060112434,0.3911667166202865,3.612526128507565,0.09270248411091728,5,2,300,9.585029944831224,0.7186880835616537,COMPLETE
33,0.16284189833807639,2025-10-18 15:11:21.052830,2025-10-18 15:11:25.394228,0 days 00:00:04.341398,1.8842459452201157,0.5794177568532054,0.5273075368994586,0.8243484655340584,0.7748165968285665,3.861985022597051,0.14080120681827923,5,3,250,10.585951855441332,0.6080020852631247,COMPLETE
